Article ID,Source,Title,Year,Date,Time
a_14071401,Asahi,谷垣氏ら５閣僚、靖国神社に献灯,2014,07,14
a_14080601,Asahi,首相の靖国参拝「外交問題に」　公明代表、自制求める,2014,08,06
a_14081501,Asahi,安倍首相、靖国神社に玉串料奉納　２閣僚が参拝,2014,08,15
a_14081502,Asahi,韓国「慨嘆を禁じ得ない」　首相の玉串料奉納・閣僚参拝,2014,08,15
a_14081503,Asahi,閣僚の靖国参拝「隣国の怒りかう」　中国メディアが非難,2014,08,15
a_14081504,Asahi,稲田行革相も靖国参拝　閣僚３人目「追悼の意、当然」,2014,08,15
a_14081505,Asahi,忘れない、８・１５の空襲　終戦、あと１日早ければ…祈り・伝える,2014,08,15
a_14081506,Asahi,中韓が反発　閣僚、靖国参拝,2014,08,15
a_14081507,Asahi,２閣僚、靖国参拝　首相は玉串料,2014,08,15
a_14081508,Asahi,「英霊」になった級友へ　広島で被爆、靖国で不戦誓う,2014,08,15
a_14081601,Asahi,若者目立つ靖国神社　「戦った人に感謝」／「徴兵で子をとられたら泣く」　終戦の日,2014,08,16
a_14081602,Asahi,終戦の日、靖国参拝は３閣僚　新藤・古屋・稲田氏,2014,08,16
a_14082701,Asahi,安倍首相、Ａ級戦犯ら法要に「祖国の礎」　４月、自民総裁名で哀悼メッセージ,2014,08,27
a_14090501,Asahi,総務相「国際放送は国連公用語で」　靖国参拝も明言,2014,09,05
a_14092201,Asahi,靖国参拝差し止め訴訟、首相側は争う姿勢「私人の立場」,2014,09,22
a_14101401,Asahi,高市総務相、靖国参拝の意向　「毎年、春も夏も秋も」,2014,10,14
a_14101501,Asahi,高市総務相の靖国参拝「避けるべきだ」　公明・山口氏,2014,10,15
a_14101701,Asahi,安倍首相、靖国神社に「真榊」奉納　例大祭、参拝見送り,2014,10,17
a_14101801,Asahi,安倍首相の真榊奉納、中韓批判,2014,10,18
a_14101802,Asahi,高市総務相・山谷拉致相が靖国参拝,2014,10,18
a_14101901,Asahi,閣僚３人が靖国参拝　有村氏・高市氏・山谷氏,2014,10,19
a_14102201,Asahi,靖国解決「陛下ご存命のうちに方向を」　自民・二階氏,2014,10,22
a_14102801,Asahi,靖国のＡ級戦犯、分祀求めて決議　福岡の遺族会、全国初,2014,10,28
a_14123101,Asahi,放火か、靖国神社の外壁焼ける　男の身柄を確保,2014,12,31
a_15042101,Asahi,安倍首相、総理名で真榊を奉納　靖国神社の春季例大祭,2015,04,21
a_15042201,Asahi,衆参１０６議員、靖国参拝　春季例大祭に合わせ,2015,04,22
a_15042301,Asahi,４党の議員ら靖国参拝,2015,04,23
a_15042302,Asahi,山谷拉致相・有村女性活躍相が靖国参拝　春季例大祭,2015,04,23
a_15042303,Asahi,高市総務相も靖国参拝　私費で玉串料　春季例大祭,2015,04,23
a_15042304,Asahi,中国外務省「断固反対」　閣僚の靖国参拝を批判,2015,04,23
a_15042801,Asahi,自民・稲田政調会長らが靖国参拝　主権回復の日にあわせ,2015,04,28
